object_id,treatment,url
obj-001,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-001.bin
obj-002,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-002.bin
obj-003,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-003.bin
obj-004,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-004.bin
obj-005,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-005.bin
obj-006,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-006.bin
obj-007,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-007.bin
obj-008,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-008.bin
obj-009,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-009.bin
obj-010,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-010.bin
obj-011,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-011.bin
obj-012,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-012.bin
obj-013,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-013.bin
obj-014,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-014.bin
obj-015,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-015.bin
obj-016,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-016.bin
obj-017,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-017.bin
obj-018,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-018.bin
obj-019,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-019.bin
obj-020,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-020.bin
obj-021,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-021.bin
obj-022,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-022.bin
obj-023,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-023.bin
obj-024,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-024.bin
obj-025,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-025.bin
obj-026,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-026.bin
obj-027,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-027.bin
obj-028,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-028.bin
obj-029,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-029.bin
obj-030,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-030.bin
obj-031,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-031.bin
obj-032,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-032.bin
obj-033,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-033.bin
obj-034,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-034.bin
obj-035,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-035.bin
obj-036,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-036.bin
obj-037,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-037.bin
obj-038,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-038.bin
obj-039,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-039.bin
obj-040,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-02/sg-singapore/obj-040.bin
